Date,Close
4/6/2016,71.84
4/7/2016,70.01
4/8/2016,70.17
4/11/2016,71.54
4/12/2016,73.27
4/13/2016,75.77
4/14/2016,76.29
4/15/2016,76.01
4/18/2016,76.65
4/19/2016,77.5
4/20/2016,78.89
4/21/2016,78.59
4/22/2016,79.58
4/25/2016,78.85
4/26/2016,79.71
4/27/2016,79.65
4/28/2016,77.94
4/29/2016,77.64
5/2/2016,78.67
5/3/2016,77.47
5/4/2016,76.27
5/5/2016,75.83
5/6/2016,76.05
5/9/2016,75.63
5/10/2016,77.16
5/11/2016,76.21
5/12/2016,76.43
5/13/2016,75.4
5/16/2016,75.95
5/17/2016,75.91
5/18/2016,79.02
5/19/2016,77.8
5/20/2016,77.67
5/23/2016,77.2
5/24/2016,78.72
5/25/2016,79.69
5/26/2016,78.47
5/27/2016,79.54
5/31/2016,79.25
6/1/2016,78.82
6/2/2016,78.73
6/3/2016,76.12
6/6/2016,77.27
6/7/2016,76.82
6/8/2016,76.81
6/9/2016,75.15
6/10/2016,73.54
6/13/2016,73.12
6/14/2016,71.98
6/15/2016,71.77
6/16/2016,71.74
6/17/2016,72.19
6/20/2016,73.21
6/21/2016,73.72
6/22/2016,74.03
6/23/2016,76.95
6/24/2016,70.91
6/27/2016,66.93
6/28/2016,68.7
6/29/2016,70.14
6/30/2016,71.34
7/1/2016,71
7/5/2016,68.74
7/6/2016,69.14
7/7/2016,69.04
7/8/2016,70.99
7/11/2016,71.81
7/12/2016,73.49
7/13/2016,73.1
7/14/2016,75.02
7/15/2016,75.11
7/18/2016,75.4
7/19/2016,75.17
7/20/2016,75.54
7/21/2016,75.43
7/22/2016,75.76
7/25/2016,75.54
7/26/2016,75.89
7/27/2016,75.42
7/28/2016,75.77
7/29/2016,75.29
8/1/2016,74.85
8/2/2016,73.97
8/3/2016,76.15
8/4/2016,72.84
8/5/2016,76.03
8/8/2016,77.3
8/9/2016,77.48
8/10/2016,76.18
8/11/2016,76.51
8/12/2016,75.52
8/15/2016,76.71
8/16/2016,76.73
8/17/2016,77.04
8/18/2016,76.52
8/19/2016,76.18
8/22/2016,76.07
8/23/2016,76.46
8/24/2016,76.71
8/25/2016,77.29
8/26/2016,77.57
8/29/2016,78.61
8/30/2016,79.56
8/31/2016,79.38
9/1/2016,78.84
9/2/2016,79.49
9/6/2016,78.59
9/7/2016,78.51
9/8/2016,78.69
9/9/2016,79.18
9/12/2016,79.74
9/13/2016,78.9
9/14/2016,79.56
9/15/2016,80.45
